,City,Colors Reported,Shape Reported,State,Time,Location
8346,Ravenna,,,OH,7/8/1995 23:00,"Ravenna , OH"
8347,Mojave Desert,,OTHER,CA,7/9/1995 12:00,"Mojave Desert , CA"
8348,Versailles,,,MO,7/9/1995 23:00,"Versailles , MO"
8349,Versailles,,,MO,7/9/1995 23:00,"Versailles , MO"
8350,Bonanza,YELLOW,,OR,7/10/1995 21:50,"Bonanza , OR"
8351,Fircrest,,,WA,7/11/1995 22:30,"Fircrest , WA"
8352,Salt Lake City,,DISK,UT,7/12/1995 4:00,"Salt Lake City , UT"
8353,Necedah,,LIGHT,WI,7/12/1995 15:00,"Necedah , WI"
8354,Olivet,,DISK,MI,7/14/1995 14:00,"Olivet , MI"
8355,Lake Havasu City,,LIGHT,AZ,7/14/1995 19:00,"Lake Havasu City , AZ"
8356,Seattle,,,WA,7/14/1995 22:10,"Seattle , WA"
8357,Abilene,,SPHERE,TX,7/15/1995 0:00,"Abilene , TX"
8358,Hesperia,ORANGE,FIREBALL,CA,7/15/1995 0:00,"Hesperia , CA"
8359,Massachussetts Highway rest stop,,CIRCLE,MA,7/15/1995 0:00,"Massachussetts Highway rest stop , MA"
8360,Steelville,,CONE,MO,7/15/1995 1:00,"Steelville , MO"
8361,Buena Park,,LIGHT,CA,7/15/1995 1:30,"Buena Park , CA"
8362,Arkadelphia,,SPHERE,TX,7/15/1995 2:00,"Arkadelphia , TX"
8363,Acworth,,CIRCLE,GA,7/15/1995 5:30,"Acworth , GA"
8364,Auburn,,,WA,7/15/1995 7:10,"Auburn , WA"
8365,Illinois,,TRIANGLE,WI,7/15/1995 12:00,"Illinois , WI"
8366,Seattle,,,WA,7/15/1995 15:20,"Seattle , WA"
8367,Seattle,GREEN,,WA,7/15/1995 15:20,"Seattle , WA"
8368,Spokane,,DISK,WA,7/15/1995 19:00,"Spokane , WA"
8369,Penrose,,LIGHT,CO,7/15/1995 19:30,"Penrose , CO"
8370,Salem,YELLOW,EGG,NH,7/15/1995 20:00,"Salem , NH"
8371,Urbana,,CIRCLE,OH,7/15/1995 20:00,"Urbana , OH"
8372,Brooklyn,,CIGAR,OH,7/15/1995 21:00,"Brooklyn , OH"
8373,Kensington,RED,LIGHT,CT,7/15/1995 21:00,"Kensington , CT"
8374,Methuen,YELLOW,OVAL,MA,7/15/1995 21:00,"Methuen , MA"
8375,East Tacoma,,DISK,WA,7/15/1995 21:30,"East Tacoma , WA"
8376,Santa Ana,,OTHER,CA,7/15/1995 22:00,"Santa Ana , CA"
8377,South Prarie,,FIREBALL,WA,7/15/1995 22:30,"South Prarie , WA"
8378,Norman,,SPHERE,OK,7/15/1995 23:00,"Norman , OK"
8379,Carthage,,LIGHT,IL,7/15/1995 23:30,"Carthage , IL"
8380,Edmonds,,LIGHT,WA,7/15/1995 23:49,"Edmonds , WA"
8381,Santa Ana,,,CA,7/16/1995 1:40,"Santa Ana , CA"
8382,Macon,,,GA,7/16/1995 12:15,"Macon , GA"
8383,Cherry Hill,,,NJ,7/16/1995 15:00,"Cherry Hill , NJ"
8384,Ringgold,,TRIANGLE,GA,7/16/1995 20:00,"Ringgold , GA"
8385,Boone,RED,OVAL,NC,7/16/1995 21:30,"Boone , NC"
8386,Holland County,,VARIOUS,AR,7/17/1995 1:30,"Holland County , AR"
8387,Fort Worth,,SPHERE,TX,7/18/1995 23:00,"Fort Worth , TX"
8388,Birmingham,,,AL,7/19/1995 0:30,"Birmingham , AL"
8389,Sacramento,BLUE,,CA,7/19/1995 1:30,"Sacramento , CA"
8390,Clinton Township,,OVAL,MI,7/19/1995 21:00,"Clinton Township , MI"
8391,Pacific,,,WA,7/19/1995 22:40,"Pacific , WA"
8392,Henry,,LIGHT,TN,7/20/1995 2:00,"Henry , TN"
8393,Port Orchard,,,WA,7/20/1995 2:15,"Port Orchard , WA"
8394,Atlanta,,CIRCLE,GA,7/20/1995 12:30,"Atlanta , GA"
8395,Mandan,,OTHER,ND,7/20/1995 16:00,"Mandan , ND"
8396,Vista,,,CA,7/20/1995 21:32,"Vista , CA"
8397,Arlington,,FORMATION,MA,7/20/1995 22:00,"Arlington , MA"
8398,Renton,,,WA,7/20/1995 22:25,"Renton , WA"
8399,Bellevue,,,WA,7/20/1995 23:00,"Bellevue , WA"
8400,Philadelphia,RED,LIGHT,PA,7/21/1995 23:15,"Philadelphia , PA"
8401,Santa Clara,,,CA,7/22/1995 10:30,"Santa Clara , CA"
8402,Redding,,,CA,7/22/1995 20:00,"Redding , CA"
8403,Springfield,,,IL,7/22/1995 20:00,"Springfield , IL"
8404,Snake River,,,ID,7/23/1995 23:00,"Snake River , ID"
8405,Olympia,,,WA,7/24/1995 3:00,"Olympia , WA"
8406,Tooele,,,UT,7/24/1995 21:00,"Tooele , UT"
8407,Arlington,,,IL,7/24/1995 22:30,"Arlington , IL"
8408,Ocate,,LIGHT,NM,7/25/1995 9:35,"Ocate , NM"
8409,West Seattle,,,WA,7/25/1995 15:00,"West Seattle , WA"
8410,Chula Vista,,CIRCLE,CA,7/25/1995 19:00,"Chula Vista , CA"
8411,Marion,,,SD,7/25/1995 20:30,"Marion , SD"
8412,Mason City,,,IA,7/26/1995 22:30,"Mason City , IA"
8413,Belleville,,,IL,7/27/1995 1:00,"Belleville , IL"
8414,Buffalo,,DISK,NY,7/27/1995 3:00,"Buffalo , NY"
8415,Beaverton,,,OR,7/27/1995 13:52,"Beaverton , OR"
8416,Riverside,,,CA,7/27/1995 21:30,"Riverside , CA"
8417,Rochester,RED GREEN,,NY,7/27/1995 23:20,"Rochester , NY"
8418,Bakersfield,,,CA,7/28/1995 0:01,"Bakersfield , CA"
8419,Belmont,,,CA,7/28/1995 0:10,"Belmont , CA"
8420,Folsom,,,CA,7/28/1995 0:15,"Folsom , CA"
8421,Seattle,,,WA,7/28/1995 3:45,"Seattle , WA"
8422,Racine,,,WI,7/28/1995 14:00,"Racine , WI"
8423,Wauwatosa,BLUE,SPHERE,WI,7/28/1995 15:15,"Wauwatosa , WI"
8424,Clarksville,RED,,VA,7/28/1995 23:10,"Clarksville , VA"
8425,Parshallville,,,MI,7/29/1995 2:00,"Parshallville , MI"
8426,Puyallup,,,WA,7/29/1995 13:52,"Puyallup , WA"
8427,Culver City,,,CA,7/29/1995 22:30,"Culver City , CA"
8428,Portland,,,OR,7/29/1995 22:30,"Portland , OR"
8429,San Fernando,,,CA,7/30/1995 0:10,"San Fernando , CA"
8430,Bolivia,,,NC,7/30/1995 1:06,"Bolivia , NC"
8431,Baltimore,,,MD,7/30/1995 22:00,"Baltimore , MD"
8432,Chippewa Falls,,CIRCLE,WI,7/30/1995 22:00,"Chippewa Falls , WI"
8433,Newtown,,,CT,7/30/1995 22:00,"Newtown , CT"
8434,Highpoint,,,NC,7/30/1995 22:05,"Highpoint , NC"
8435,San Fernando,BLUE,,CA,7/30/1995 22:45,"San Fernando , CA"
8436,Trenton,,,NJ,7/31/1995 0:00,"Trenton , NJ"
8437,Sarasota,,,FL,7/31/1995 21:30,"Sarasota , FL"
8438,Morris Plains,,,NJ,7/31/1995 23:45,"Morris Plains , NJ"
8439,London,,TEARDROP,OH,8/1/1995 0:00,"London , OH"
8440,Van Nuys,,VARIOUS,CA,8/1/1995 1:45,"Van Nuys , CA"
8441,South East Merced,,DIAMOND,CA,8/1/1995 14:00,"South East Merced , CA"
8442,Las Vegas,,FLASH,NV,8/1/1995 18:00,"Las Vegas , NV"
8443,Jack Fork Mountains,,LIGHT,OK,8/1/1995 21:45,"Jack Fork Mountains , OK"
8444,Pflugerville,,SPHERE,TX,8/1/1995 22:00,"Pflugerville , TX"
8445,Tacoma,,,WA,8/1/1995 22:10,"Tacoma , WA"
8446,Seattle,,,WA,8/1/1995 22:45,"Seattle , WA"
8447,South Beach,,TRIANGLE,FL,8/1/1995 23:00,"South Beach , FL"
8448,Stanwood,,,WA,8/2/1995 13:30,"Stanwood , WA"
8449,Deming,,,NM,8/2/1995 19:34,"Deming , NM"
8450,Lynnwood,BLUE,,WA,8/2/1995 22:35,"Lynnwood , WA"
8451,Aurora,,,CO,8/3/1995 23:00,"Aurora , CO"
8452,Hazel Dell,,,WA,8/4/1995 1:00,"Hazel Dell , WA"
8453,Bellevue,,,WA,8/4/1995 1:15,"Bellevue , WA"
8454,Lynnwood,,,WA,8/4/1995 2:05,"Lynnwood , WA"
8455,Vancouver,,,WA,8/4/1995 2:40,"Vancouver , WA"
8456,Shelton,,,WA,8/4/1995 20:00,"Shelton , WA"
8457,Nashua,,RECTANGLE,NH,8/4/1995 21:30,"Nashua , NH"
8458,Sacramento,,,CA,8/4/1995 21:35,"Sacramento , CA"
8459,Crescent Lake,YELLOW,,WA,8/4/1995 22:30,"Crescent Lake , WA"
8460,Santa Rosa,,,CA,8/4/1995 23:00,"Santa Rosa , CA"
8461,Bothell,,,WA,8/4/1995 23:15,"Bothell , WA"
8462,Richmond,,OTHER,KY,8/5/1995 1:05,"Richmond , KY"
8463,Santee,,LIGHT,CA,8/5/1995 18:37,"Santee , CA"
8464,Woodland,,,WA,8/5/1995 21:30,"Woodland , WA"
8465,Phillips,RED,,WI,8/5/1995 22:00,"Phillips , WI"
8466,Woodland,,,WA,8/5/1995 23:15,"Woodland , WA"
8467,Redwood,,,CA,8/6/1995 0:00,"Redwood , CA"
8468,Lacey,,,WA,8/6/1995 4:00,"Lacey , WA"
8469,Bakersfield,RED GREEN,,CA,8/6/1995 18:45,"Bakersfield , CA"
8470,Bakersfield,YELLOW,,CA,8/6/1995 20:50,"Bakersfield , CA"
8471,Reno,ORANGE,FORMATION,NV,8/6/1995 21:00,"Reno , NV"
8472,Moosehead Lake,,,ME,8/6/1995 21:57,"Moosehead Lake , ME"
8473,Kalamazoo,RED BLUE,,MI,8/6/1995 22:30,"Kalamazoo , MI"
8474,Bakersfield,,,CA,8/6/1995 23:45,"Bakersfield , CA"
8475,Bakersfield,RED GREEN,,CA,8/7/1995 0:30,"Bakersfield , CA"
8476,Bakersfield,,,CA,8/7/1995 12:00,"Bakersfield , CA"
8477,Memphis,,DISK,TN,8/7/1995 17:00,"Memphis , TN"
8478,Berthid,,,CO,8/7/1995 23:00,"Berthid , CO"
8479,Portland,,,OR,8/8/1995 0:40,"Portland , OR"
8480,Clearwater,,,FL,8/8/1995 4:00,"Clearwater , FL"
8481,Oregon City,,,OR,8/8/1995 21:30,"Oregon City , OR"
8482,Clinton,RED YELLOW BLUE,,MO,8/8/1995 22:40,"Clinton , MO"
8483,Alum Creek,,,WV,8/8/1995 23:00,"Alum Creek , WV"
8484,Tucson,,,AZ,8/8/1995 23:00,"Tucson , AZ"
8485,I-64,,TRIANGLE,IN,8/9/1995 2:10,"I-64 , IN"
8486,Fresno,RED,,CA,8/9/1995 21:25,"Fresno , CA"
8487,Panguitch,,LIGHT,UT,8/10/1995 21:00,"Panguitch , UT"
8488,Oakland,,,CA,8/10/1995 21:45,"Oakland , CA"
8489,Beaverton,,,OR,8/11/1995 1:32,"Beaverton , OR"
8490,Puyallup,,,WA,8/11/1995 4:00,"Puyallup , WA"
8491,Sacramento,,,CA,8/11/1995 8:40,"Sacramento , CA"
8492,Fort Myers Beach,,,FL,8/12/1995 1:00,"Fort Myers Beach , FL"
8493,South of Sarasota,,VARIOUS,FL,8/12/1995 3:30,"South of Sarasota , FL"
8494,Willamsburg,,DISK,VA,8/12/1995 15:00,"Willamsburg , VA"
8495,Interstate 10,,CIRCLE,FL,8/12/1995 17:00,"Interstate 10 , FL"
8496,Arlington,,TRIANGLE,WA,8/12/1995 20:29,"Arlington , WA"
8497,Enola,,FIREBALL,PA,8/12/1995 21:00,"Enola , PA"
8498,Laughlin,RED,LIGHT,NV,8/12/1995 21:00,"Laughlin , NV"
8499,Bellevue,GREEN,,WA,8/12/1995 21:25,"Bellevue , WA"
8500,Naples,,,FL,8/12/1995 21:34,"Naples , FL"
8501,Seattle,GREEN,,WA,8/12/1995 21:43,"Seattle , WA"
8502,Lancaster,,,WA,8/12/1995 23:56,"Lancaster , WA"
8503,Putman,,,CT,8/13/1995 5:00,"Putman , CT"
8504,Newaygo,,CHEVRON,MI,8/13/1995 11:00,"Newaygo , MI"
8505,Redmond,,,WA,8/13/1995 16:50,"Redmond , WA"
8506,Las Vegas,,TRIANGLE,NV,8/13/1995 18:30,"Las Vegas , NV"
8507,Martinez,,,CA,8/13/1995 21:05,"Martinez , CA"
8508,Ft. Dick,RED,,CA,8/13/1995 22:00,"Ft. Dick , CA"
8509,Gig Harbor,,,WA,8/13/1995 22:00,"Gig Harbor , WA"
8510,Coon Valley,,,WI,8/13/1995 23:10,"Coon Valley , WI"
8511,Federal Way,GREEN,,WA,8/14/1995 5:30,"Federal Way , WA"
8512,Snoqualmie Pass,,,WA,8/14/1995 10:30,"Snoqualmie Pass , WA"
8513,Silverton,,TRIANGLE,OR,8/14/1995 20:30,"Silverton , OR"
8514,Martinez,,,CA,8/14/1995 20:50,"Martinez , CA"
8515,Tacoma,,,WA,8/14/1995 21:40,"Tacoma , WA"
8516,Redmond,,LIGHT,WA,8/14/1995 23:00,"Redmond , WA"
8517,Cuena Park,,LIGHT,CA,8/15/1995 0:00,"Cuena Park , CA"
8518,Appalachian,,LIGHT,NY,8/15/1995 1:00,"Appalachian , NY"
8519,Tacoma,,,WA,8/15/1995 4:30,"Tacoma , WA"
8520,Arcadia Shores,,,WA,8/15/1995 5:15,"Arcadia Shores , WA"
8521,Vashon Island,BLUE,,WA,8/15/1995 5:28,"Vashon Island , WA"
8522,Fife,,,WA,8/15/1995 5:29,"Fife , WA"
8523,Yankton,,OVAL,SD,8/15/1995 6:00,"Yankton , SD"
8524,Hoh River,BLUE,,WA,8/15/1995 11:00,"Hoh River , WA"
8525,Chatsworth,,TEARDROP,GA,8/15/1995 17:00,"Chatsworth , GA"
8526,Hampton,,CIGAR,TN,8/15/1995 17:30,"Hampton , TN"
8527,Connecticut,,TRIANGLE,CT,8/15/1995 20:00,"Connecticut , CT"
8528,Flagstaff,,OVAL,AZ,8/15/1995 20:00,"Flagstaff , AZ"
8529,Hampton,ORANGE,OTHER,VA,8/15/1995 21:00,"Hampton , VA"
8530,Sandpoint,,DISK,ID,8/15/1995 21:00,"Sandpoint , ID"
8531,Grand Haven,,,MI,8/15/1995 21:05,"Grand Haven , MI"
8532,Brunswick,ORANGE,OTHER,ME,8/15/1995 21:30,"Brunswick , ME"
8533,Crescent City,,,CA,8/15/1995 21:30,"Crescent City , CA"
8534,Davis,,CONE,CA,8/15/1995 22:00,"Davis , CA"
8535,Omaha,,DISK,NE,8/16/1995 20:00,"Omaha , NE"
8536,Aurora,,TRIANGLE,IL,8/16/1995 21:30,"Aurora , IL"
8537,Sumner,,,WA,8/16/1995 23:00,"Sumner , WA"
8538,Williston,,,VT,8/16/1995 23:00,"Williston , VT"
8539,Redmond,,,WA,8/16/1995 23:30,"Redmond , WA"
8540,South Park,,,WA,8/17/1995 19:45,"South Park , WA"
8541,McKenzie,,,ND,8/17/1995 20:45,"McKenzie , ND"
8542,Granite,,,WA,8/17/1995 23:00,"Granite , WA"
8543,Kearney,,,MO,8/18/1995 1:00,"Kearney , MO"
8544,Salt Lake City,,,UT,8/18/1995 15:00,"Salt Lake City , UT"
8545,Dearborn,BLUE,TRIANGLE,MI,8/18/1995 22:45,"Dearborn , MI"
8546,Forest Lake,,,MN,8/19/1995 1:15,"Forest Lake , MN"
8547,Hayworth,,,IL,8/19/1995 21:00,"Hayworth , IL"
8548,Brunswick,,DISK,OH,8/20/1995 2:00,"Brunswick , OH"
8549,Bowman,,TRIANGLE,SC,8/20/1995 4:00,"Bowman , SC"
8550,Beaverton,,,OR,8/20/1995 10:55,"Beaverton , OR"
8551,Cantwell,,CIRCLE,AK,8/20/1995 11:30,"Cantwell , AK"
8552,Colonial Beach,,,VA,8/20/1995 13:45,"Colonial Beach , VA"
8553,Culver City,,,CA,8/20/1995 21:35,"Culver City , CA"
8554,Holly,YELLOW,,WA,8/20/1995 23:00,"Holly , WA"
8555,Shapleigh,,,ME,8/20/1995 23:00,"Shapleigh , ME"
8556,Dowling,RED GREEN BLUE,,MI,8/21/1995 0:30,"Dowling , MI"
8557,La Crosse,,,WI,8/21/1995 2:00,"La Crosse , WI"
8558,Tacoma,,,WA,8/21/1995 20:35,"Tacoma , WA"
8559,Laporte,,,WA,8/21/1995 21:00,"Laporte , WA"
8560,Seattle,,,WA,8/21/1995 21:30,"Seattle , WA"
8561,Olathe,RED,,KS,8/21/1995 21:55,"Olathe , KS"
8562,Greensburg,GREEN,RECTANGLE,KY,8/22/1995 1:00,"Greensburg , KY"
8563,Phoenix,,,AZ,8/22/1995 21:30,"Phoenix , AZ"
8564,Prescott,,,AZ,8/22/1995 21:45,"Prescott , AZ"
8565,Bothell,,,WA,8/22/1995 22:00,"Bothell , WA"
8566,Fontana,ORANGE,,CA,8/22/1995 22:15,"Fontana , CA"
8567,Fontana,,,CA,8/22/1995 22:17,"Fontana , CA"
8568,Tempe,,,AZ,8/22/1995 23:25,"Tempe , AZ"
8569,Puyallup,,,WA,8/23/1995 16:35,"Puyallup , WA"
8570,Anaheim,,,CA,8/23/1995 20:35,"Anaheim , CA"
8571,Upland,,,CA,8/23/1995 21:00,"Upland , CA"
8572,Louisville,,,KY,8/23/1995 23:50,"Louisville , KY"
8573,Battle Creek,,,MI,8/24/1995 21:00,"Battle Creek , MI"
8574,Detroit,,OTHER,MI,8/25/1995 0:00,"Detroit , MI"
8575,Cheektowaga,,,NY,8/25/1995 0:30,"Cheektowaga , NY"
8576,Adamsville,,,PA,8/25/1995 0:40,"Adamsville , PA"
8577,Cleveland,,,OH,8/25/1995 0:40,"Cleveland , OH"
8578,Edinboro,ORANGE,,PA,8/25/1995 0:40,"Edinboro , PA"
8579,Greensburg,,,PA,8/25/1995 0:40,"Greensburg , PA"
8580,Monticello,,,NY,8/25/1995 0:40,"Monticello , NY"
8581,Monticello,,CIRCLE,NY,8/25/1995 0:40,"Monticello , NY"
8582,Pittsburgh,,,PA,8/25/1995 0:40,"Pittsburgh , PA"
8583,Niles,,DISK,OH,8/25/1995 0:42,"Niles , OH"
8584,Nelson Ledges,,SPHERE,OH,8/25/1995 0:44,"Nelson Ledges , OH"
8585,Morris,,OTHER,AL,8/25/1995 1:00,"Morris , AL"
8586,Breezewood,,,PA,8/25/1995 1:30,"Breezewood , PA"
8587,Oxford,,LIGHT,MA,8/25/1995 3:00,"Oxford , MA"
8588,Olean,,TRIANGLE,NY,8/25/1995 9:15,"Olean , NY"
8589,Kansas City,,,KS,8/25/1995 15:00,"Kansas City , KS"
8590,Helena,,,MT,8/25/1995 20:00,"Helena , MT"
8591,Bothell,RED BLUE,,WA,8/25/1995 20:30,"Bothell , WA"
8592,Sarasota,,,FL,8/25/1995 22:00,"Sarasota , FL"
8593,Crescent City,,,CA,8/25/1995 23:00,"Crescent City , CA"
8594,Interstate-5,,CIGAR,CA,8/26/1995 2:38,"Interstate-5 , CA"
8595,Salida,,,CO,8/26/1995 10:00,"Salida , CO"
8596,Provo,,,UT,8/26/1995 15:42,"Provo , UT"
8597,Inyo Co.,,,CA,8/26/1995 20:00,"Inyo Co. , CA"
8598,Auburn,,,WA,8/26/1995 21:15,"Auburn , WA"
8599,Williston,,,ND,8/26/1995 23:00,"Williston , ND"
8600,Dade County,,,FL,8/26/1995 23:30,"Dade County , FL"
8601,Phoenix,,,AZ,8/26/1995 23:45,"Phoenix , AZ"
8602,Los Angeles,,,CA,8/27/1995 4:00,"Los Angeles , CA"
8603,Medford,,,OR,8/27/1995 13:10,"Medford , OR"
8604,Lost Lake,,,OR,8/27/1995 21:00,"Lost Lake , OR"
8605,Oregon City,,,OR,8/27/1995 21:30,"Oregon City , OR"
8606,Mass City,,,MI,8/28/1995 1:50,"Mass City , MI"
8607,Castle Rock,,,CO,8/28/1995 2:30,"Castle Rock , CO"
8608,Burbank,,,CA,8/28/1995 10:45,"Burbank , CA"
8609,Elizabethtown,RED,TRIANGLE,KY,8/29/1995 2:00,"Elizabethtown , KY"
8610,Boise,,,ID,8/29/1995 5:50,"Boise , ID"
8611,Inglewood,GREEN BLUE,,CA,8/29/1995 21:45,"Inglewood , CA"
8612,La Habra,,,CA,8/29/1995 21:45,"La Habra , CA"
8613,Fresno,RED,,CA,8/30/1995 5:30,"Fresno , CA"
8614,Travis AFB,,,CA,8/30/1995 5:35,"Travis AFB , CA"
8615,Bakersfield,RED,,CA,8/30/1995 5:40,"Bakersfield , CA"
8616,Rock Valley,,TRIANGLE,IA,8/30/1995 23:10,"Rock Valley , IA"
8617,Reno,,,NV,8/31/1995 5:15,"Reno , NV"
8618,Randolph,,,NJ,8/31/1995 20:30,"Randolph , NJ"
8619,Mukilteo,YELLOW,,WA,8/31/1995 21:50,"Mukilteo , WA"
8620,Ocean Shores,,TRIANGLE,WA,9/1/1995 2:00,"Ocean Shores , WA"
8621,Pahrump,,VARIOUS,NV,9/1/1995 9:00,"Pahrump , NV"
8622,Pahrump,,LIGHT,NV,9/1/1995 9:30,"Pahrump , NV"
8623,Savannah,,DIAMOND,GA,9/1/1995 10:00,"Savannah , GA"
8624,Eagle Butte,BLUE,LIGHT,SD,9/1/1995 10:30,"Eagle Butte , SD"
8625,New York City,,,NY,9/2/1995 23:00,"New York City , NY"
8626,Virginia Beach,,,VA,9/3/1995 22:30,"Virginia Beach , VA"
8627,Playa del Rey,,LIGHT,CA,9/4/1995 5:45,"Playa del Rey , CA"
8628,Colorado Springs,,,CO,9/4/1995 22:30,"Colorado Springs , CO"
8629,Mercer Island,,,WA,9/5/1995 0:00,"Mercer Island , WA"
8630,Coweta,,DISK,OK,9/5/1995 15:00,"Coweta , OK"
8631,Albuquerque,,TRIANGLE,NM,9/5/1995 18:00,"Albuquerque , NM"
8632,Boise,,,ID,9/5/1995 23:00,"Boise , ID"
8633,Grand Canyon,,LIGHT,AZ,9/6/1995 21:30,"Grand Canyon , AZ"
8634,Ashland,,CYLINDER,NH,9/6/1995 23:02,"Ashland , NH"
8635,Medford,,CIRCLE,OR,9/7/1995 3:30,"Medford , OR"
8636,Portland,,,OR,9/8/1995 6:35,"Portland , OR"
8637,St. Charles,,CHEVRON,IL,9/9/1995 0:30,"St. Charles , IL"
8638,Lake Oswego,RED,,OR,9/9/1995 19:05,"Lake Oswego , OR"
8639,Silverdale,,,WA,9/9/1995 22:50,"Silverdale , WA"
8640,Nixon,,DISK,TX,9/10/1995 1:00,"Nixon , TX"
8641,Marion,,TRIANGLE,VA,9/10/1995 9:30,"Marion , VA"
8642,Las Vegas,,,NV,9/10/1995 12:35,"Las Vegas , NV"
8643,Effingham,,CIGAR,IL,9/10/1995 20:00,"Effingham , IL"
8644,Auburn,,,WA,9/10/1995 22:00,"Auburn , WA"
8645,Salt Lake City,,,UT,9/11/1995 16:25,"Salt Lake City , UT"
8646,Pierce City,,CIGAR,MO,9/11/1995 16:30,"Pierce City , MO"
8647,Pierce City,,CIGAR,MO,9/11/1995 16:30,"Pierce City , MO"
8648,Las Vegas,,,NV,9/11/1995 22:15,"Las Vegas , NV"
8649,Melbourne,,TRIANGLE,FL,9/11/1995 23:00,"Melbourne , FL"
8650,Whitefish,,,MT,9/11/1995 23:23,"Whitefish , MT"
8651,New London,,,CT,9/11/1995 23:30,"New London , CT"
8652,Leadville,,,CO,9/12/1995 8:58,"Leadville , CO"
8653,North Haven,,,CT,9/12/1995 10:21,"North Haven , CT"
8654,W. New Brunswick,,,NJ,9/12/1995 21:15,"W. New Brunswick , NJ"
8655,Orangeburg,,,NY,9/12/1995 23:50,"Orangeburg , NY"
8656,Corpus Christi,,,TX,9/13/1995 0:10,"Corpus Christi , TX"
8657,Tallahassee,,,FL,9/13/1995 0:20,"Tallahassee , FL"
8658,Missoula,,,MT,9/13/1995 0:30,"Missoula , MT"
8659,Superior,,,AZ,9/13/1995 1:39,"Superior , AZ"
8660,Midvale,,,UT,9/13/1995 4:25,"Midvale , UT"
8661,Potter Valley,RED,,CA,9/13/1995 5:05,"Potter Valley , CA"
8662,Silverdale,,,WA,9/13/1995 22:33,"Silverdale , WA"
8663,Mason,,,MI,9/14/1995 3:55,"Mason , MI"
8664,Potter Valley,RED,,CA,9/14/1995 5:05,"Potter Valley , CA"
8665,Clairton,GREEN BLUE,,PA,9/14/1995 19:00,"Clairton , PA"
8666,Douglas,,,AZ,9/14/1995 21:40,"Douglas , AZ"
8667,Buffalo,,OTHER,NY,9/14/1995 21:45,"Buffalo , NY"
8668,Wasilla,,LIGHT,AK,9/15/1995 2:00,"Wasilla , AK"
8669,Kissimmee,RED,DISK,FL,9/15/1995 7:00,"Kissimmee , FL"
8670,Poway,,OTHER,CA,9/15/1995 7:30,"Poway , CA"
8671,Redmond,,,WA,9/15/1995 10:25,"Redmond , WA"
8672,Las Vegas,,OTHER,NV,9/15/1995 14:00,"Las Vegas , NV"
8673,Seattle,,,WA,9/15/1995 15:00,"Seattle , WA"
8674,Windham,,LIGHT,ME,9/15/1995 21:00,"Windham , ME"
8675,La Habra,,DISK,CA,9/15/1995 22:00,"La Habra , CA"
8676,New York City,,,NY,9/15/1995 22:00,"New York City , NY"
8677,New York City,,,NY,9/15/1995 22:05,"New York City , NY"
8678,Wyoming,ORANGE,,PA,9/15/1995 22:30,"Wyoming , PA"
8679,Corvallis,,,MT,9/15/1995 22:45,"Corvallis , MT"
8680,Wilsonville,,LIGHT,OR,9/16/1995 1:00,"Wilsonville , OR"
8681,Seattle,,,WA,9/16/1995 21:15,"Seattle , WA"
8682,Merlin,,,OR,9/16/1995 23:15,"Merlin , OR"
8683,Colorado Springs,,,CO,9/17/1995 0:30,"Colorado Springs , CO"
8684,Richardson,RED,,TX,9/17/1995 20:00,"Richardson , TX"
8685,Alturas,,,CA,9/18/1995 4:10,"Alturas , CA"
8686,Wilcox,,,AZ,9/18/1995 4:20,"Wilcox , AZ"
8687,N. Kingston,,,RI,9/18/1995 18:40,"N. Kingston , RI"
8688,Seattle,,,WA,9/18/1995 20:55,"Seattle , WA"
8689,Kansas City,,,KS,9/18/1995 21:45,"Kansas City , KS"
8690,Stanford,,,CA,9/19/1995 5:57,"Stanford , CA"
8691,Johnson City,,,TN,9/19/1995 22:46,"Johnson City , TN"
8692,Humbolt,,,CA,9/19/1995 23:43,"Humbolt , CA"
8693,Reno,,,NV,9/20/1995 3:30,"Reno , NV"
8694,Wilberforce,,OVAL,OH,9/20/1995 5:00,"Wilberforce , OH"
8695,Green Bay,,DIAMOND,WI,9/20/1995 18:30,"Green Bay , WI"
8696,Cold Bay,,FIREBALL,AK,9/20/1995 19:30,"Cold Bay , AK"
8697,Puyallup,,,WA,9/20/1995 21:00,"Puyallup , WA"
8698,Sunflower,BLUE,CYLINDER,MS,9/20/1995 22:00,"Sunflower , MS"
8699,Black Shear,,,GA,9/20/1995 23:30,"Black Shear , GA"
8700,Concordia,,,KS,9/21/1995 21:00,"Concordia , KS"
8701,Seattle,,,WA,9/21/1995 23:00,"Seattle , WA"
8702,Virginia Beach,,,VA,9/22/1995 0:00,"Virginia Beach , VA"
8703,Safford,,DISK,AZ,9/22/1995 3:00,"Safford , AZ"
8704,Portland,,,OR,9/22/1995 5:40,"Portland , OR"
8705,Meridian,,OTHER,MS,9/22/1995 16:00,"Meridian , MS"
8706,Safford,,,AZ,9/22/1995 21:00,"Safford , AZ"
8707,Redmond,,,WA,9/22/1995 21:30,"Redmond , WA"
8708,Lake Charles,,,LA,9/22/1995 23:30,"Lake Charles , LA"
8709,Washington County,,,OR,9/23/1995 0:00,"Washington County , OR"
8710,Lake Oswego,,,OR,9/23/1995 15:45,"Lake Oswego , OR"
8711,Delta,,FLASH,UT,9/23/1995 21:45,"Delta , UT"
